states;1;2;3;4;5
Baden-Württem­berg;45.254;+184;1.423;12,9;1.867
Bayern;61.974;+269;2.328;17,8;2.645
Berlin;12.269;+15;532;14,2;226
Branden­burg;4.006;+1;65;2,6;169
Bremen;2.135;+5;65;9,5;58
Hamburg;6.825;+11;254;13,8;268
Hessen;16.877;+69;696;11,1;539
Meck­lenburg-Vor­pommern*;1.055;0;24;1,5;20
Nieder­sachsen;17.911;+67;557;7,0;667
Nord­rhein-West­falen;62.261;+182;1.738;9,7;1.829
Rhein­land-Pfalz;9.764;+47;363;8,9;246
Saarland;3.245;+2;44;4,4;175
Sachsen;6.403;+38;241;5,9;226
Sachsen-Anhalt;2.355;+18;67;3,0;66
Schles­wig-Holstein;4.231;+9;100;3,5;161
Thüringen;3.790;+10;93;4,3;188
Gesamt;260.355;+927;8.590;10,3;9.350
